size,model_string,accuracy
29,status ~ ratio_digits_url+nb_slash+longest_word_path+domain_registration_length+nb_dots+nb_hyphens+nb_underscore+https_token+nb_qm+ratio_digits_host+nb_eq+nb_tilde+nb_percent+nb_subdomains+nb_or+nb_dollar+nb_at+nb_star+nb_colon+http_in_path+nb_comma+nb_semicolumn+nb_and+nb_space+length_hostname+avg_word_host+longest_word_host+avg_words_raw+length_url,0.857830271216098
28,status ~ ratio_digits_url+nb_slash+longest_word_path+domain_registration_length+nb_dots+nb_hyphens+nb_underscore+https_token+nb_qm+ratio_digits_host+nb_eq+nb_tilde+nb_percent+nb_subdomains+nb_or+nb_dollar+nb_at+nb_star+nb_colon+http_in_path+nb_comma+nb_semicolumn+nb_and+nb_space+length_hostname+avg_word_host+longest_word_host+avg_words_raw,0.8569553805774278
27,status ~ ratio_digits_url+nb_slash+longest_word_path+domain_registration_length+nb_dots+nb_hyphens+nb_underscore+https_token+nb_qm+ratio_digits_host+nb_eq+nb_tilde+nb_percent+nb_subdomains+nb_or+nb_dollar+nb_at+nb_star+nb_colon+http_in_path+nb_comma+nb_semicolumn+nb_and+nb_space+length_hostname+avg_word_host+longest_word_host,0.8536307961504812
26,status ~ ratio_digits_url+nb_slash+longest_word_path+domain_registration_length+nb_dots+nb_hyphens+nb_underscore+https_token+nb_qm+ratio_digits_host+nb_eq+nb_tilde+nb_percent+nb_subdomains+nb_or+nb_dollar+nb_at+nb_star+nb_colon+http_in_path+nb_comma+nb_semicolumn+nb_and+nb_space+length_hostname+avg_word_host,0.8480314960629921
18,status ~ ratio_digits_url+nb_slash+longest_word_path+domain_registration_length+nb_dots+nb_hyphens+nb_underscore+https_token+nb_qm+ratio_digits_host+nb_eq+nb_tilde+nb_percent+nb_subdomains+nb_or+nb_dollar+nb_at+nb_star,0.8458442694663167
16,status ~ ratio_digits_url+nb_slash+longest_word_path+domain_registration_length+nb_dots+nb_hyphens+nb_underscore+https_token+nb_qm+ratio_digits_host+nb_eq+nb_tilde+nb_percent+nb_subdomains+nb_or+nb_dollar,0.8457567804024497
17,status ~ ratio_digits_url+nb_slash+longest_word_path+domain_registration_length+nb_dots+nb_hyphens+nb_underscore+https_token+nb_qm+ratio_digits_host+nb_eq+nb_tilde+nb_percent+nb_subdomains+nb_or+nb_dollar+nb_at,0.8457567804024497
15,status ~ ratio_digits_url+nb_slash+longest_word_path+domain_registration_length+nb_dots+nb_hyphens+nb_underscore+https_token+nb_qm+ratio_digits_host+nb_eq+nb_tilde+nb_percent+nb_subdomains+nb_or,0.8455818022747157
19,status ~ ratio_digits_url+nb_slash+longest_word_path+domain_registration_length+nb_dots+nb_hyphens+nb_underscore+https_token+nb_qm+ratio_digits_host+nb_eq+nb_tilde+nb_percent+nb_subdomains+nb_or+nb_dollar+nb_at+nb_star+nb_colon,0.8455818022747157
14,status ~ ratio_digits_url+nb_slash+longest_word_path+domain_registration_length+nb_dots+nb_hyphens+nb_underscore+https_token+nb_qm+ratio_digits_host+nb_eq+nb_tilde+nb_percent+nb_subdomains,0.8454068241469817
